Artist|Spotify ID|Genres
George Hamilton IV|6G39Gakqv1r26pZzijSWti|['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
Ray Price|5sAg1HZePcFfhrs0G8A8OP|['country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country', 'western swing']
The Rivieras|5iIxOyBhMCDCFwAYGM6B3P|['classic garage rock', 'surf music']
The Tune Rockers|13oRnp1gAqHi5rHvPH5Nqw|[]
Gogi Grant|2Ak3GNswCQfRKDs3P8uWaQ|['deep adult standards']
Warren Storm|5jDAOFds32yPxpwhahKIU0|['swamp pop']
Cozy Cole|6fkwnXeEKj729M5HSIaoMr|[]
The Shields|45OBxXLz8nWOcdHZG6jpG3|[]
David Seville|4NI5R1DbX27ODY5JTqnv2l|[]
Eileen Rodgers|5U6AFHwdlMoOHEPmRQxTsN|['deep adult standards']
Andy Williams|4sj6D0zlMOl25nprDJBiU9|['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']
The McGuire Sisters|6oXkzBf6bMupenvf4tKtmN|['adult standards', 'christmas', 'deep adult standards', 'vocal harmony group']
Dale Wright|3XeJHArtnWVYs3vIS1zYjR|[]
The Playboys|4nExdiuJgs4AcHETljTDTv|[]
Tommy Sands|651IBnnG9nIIXO4N40bR6c|[]
The Chargers|0O1CHKIilXJ2IRLWrtPvFU|[]
The Kingsmen|2iIn8H3l2NNBNHFpYKWbfo|[]
Johnnie Ray|6SQKNCUKIWjR1pQ1U3PZZq|['adult standards', 'brill building pop', 'christmas', 'deep adult standards', 'rock-and-roll']
Dale Hawkins|7kcPzHlsyJm5tDv7JMcr6T|['rock-and-roll', 'rockabilly']
Teresa Brewer|2mPL4g4v9DS55zi6QctLbP|['adult standards', 'christmas', 'deep adult standards']
Carl Smith|4FmgWM5kNxZ8ibCNPS6hHN|['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
Ivory Joe Hunter|3DpdJvcq90sWYUx35Tcbea|['jazz blues', 'piano blues', 'rhythm and blues']
Robert Mitchum|3ttV5d4dhwr1R48j5I5FE3|['lounge']
Doug Franklin|5ItW8koMZZaE8yowFlRF3f|[]
Joni James|0hiq5HixjjN3gtSXLZmnBw|['adult standards', 'cabaret', 'christmas', 'deep adult standards', 'easy listening', 'lounge']
Conway Twitty|7gi3jmwpUpNWdswT8eEprF|['country', 'country gospel', 'country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country']
Little Richard|4xls23Ye9WR9yy3yYMpAMm|['adult standards', 'brill building pop', 'christmas', 'motown', 'rock-and-roll', 'rockabilly', 'soul']
The Applejacks|27up4HDNmGpKK60gRie2tB|['british invasion', 'merseybeat', 'rock-and-roll']
Earl Grant|0k3XbZNQTR8KVW2yWyJDDx|['space age pop']
Jane Morgan|4CVHH6NpR8WwHLYjgI4t7A|['deep adult standards']
Ruth Brown|4EYVgfZJ8wKXWmIvCx3gOY|['jazz blues', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']
Ritchie Valens|5Y9xEAGW4GwGJgbiI6W85P|['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']
The Four Coins|1XQXkciRULT2PXhRUtmmuH|['deep adult standards', 'vocal harmony group']
Ivan|4geJci3XRoeMknHvknu2gL|['italian disco']
The Teddy Bears|2qfze6v2h0uc0e2ABp7z3a|[]
Eddie Fontaine|2OJEqa0vH3epErNtguOFFp|[]
Jackie Wilson|4VnomLtKTm9Ahe1tZfmZju|['adult standards', 'brill building pop', 'chicago soul', 'christmas', 'classic soul', 'lounge', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']
